date.gs,reg_02.gs,마스크,스타킹,스테디셀러,일회용품,"계절성(여름,겨울)",00~19,20~39,40~59,60~99,F,M,temp_max,wind_max,temp_min,temp_avg,rhumid_avg,wa_avg,rain_sum
2016-01-01,1분위수,77.0,77.0,8677.0,288.0,5071.0,357,9203,4293,337,8250,5940,4.8,2.6,-2.6,1.8,76.2,0.9,0.0
2016-01-01,2분위수,49.0,112.0,14208.0,441.0,7825.0,497,15798,5885,462,13243,9399,4.8,2.8,-2.6,1.8,77.7,1.0,0.0
2016-01-01,3분위수,63.0,91.0,14477.0,420.0,7612.0,659,15310,6204,490,13760,8903,4.8,2.2,-3.7,1.2,76.8,0.8,0.0
2016-01-01,4분위수,77.0,358.0,29897.0,1187.0,17981.0,945,36204,11067,1284,29628,19872,5.3,2.8,-1.6,2.4,74.0,1.2,0.0
2016-01-02,1분위수,35.0,105.0,8617.0,267.0,4936.0,525,9456,3692,287,7622,6338,9.7,3.4,2.3,6.3,79.5,1.3,0.0
2016-01-02,2분위수,14.0,147.0,13066.0,499.0,7129.0,784,14865,4764,456,13093,7776,10.1,2.9,2.3,6.3,79.7,1.2,0.0
2016-01-02,3분위수,0.0,126.0,11810.0,371.0,6508.0,455,13300,4675,392,11644,7178,9.9,2.8,2.0,6.0,79.6,1.1,0.0
2016-01-02,4분위수,105.0,442.0,27167.0,1011.0,15433.0,938,31892,10107,1221,26083,18075,10.6,3.3,3.5,7.1,76.5,1.6,0.0
2016-01-03,1분위수,56.0,112.0,7528.0,266.0,4594.0,546,8535,3286,189,6988,5568,9.4,3.0,4.6,6.7,83.8,1.0,0.0
2016-01-03,2분위수,105.0,210.0,11795.0,449.0,6786.0,525,14352,4006,462,11607,7738,9.6,2.6,4.4,6.6,83.7,0.9,0.0
2016-01-03,3분위수,56.0,217.0,11163.0,294.0,6083.0,588,12612,4263,350,10606,7207,9.2,2.4,3.3,5.8,83.8,0.8,0.0
2016-01-03,4분위수,112.0,378.0,27253.0,743.0,17134.0,882,33238,10875,632,27014,18613,9.9,2.6,5.5,7.2,82.0,1.0,0.0
